Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-06,De Niro ,,https://boxd.it/nGQUM,

Position,Name,Year,URL,Description
1,GoodFellas,1990,https://boxd.it/29FA,
2,Taxi Driver,1976,https://boxd.it/2b8y,
3,The Godfather Part II,1974,https://boxd.it/2aNq,
4,The Irishman,2019,https://boxd.it/dYOq,
5,Heat,1995,https://boxd.it/2bg8,
6,Raging Bull,1980,https://boxd.it/28yI,
7,Casino,1995,https://boxd.it/2ads,
8,The King of Comedy,1982,https://boxd.it/2aJS,
9,Once Upon a Time in America,1984,https://boxd.it/2aCs,
10,Cape Fear,1991,https://boxd.it/28vu,
11,The Untouchables,1987,https://boxd.it/2b6i,
12,Mean Streets,1973,https://boxd.it/2aSU,
13,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
14,A Bronx Tale,1993,https://boxd.it/28uQ,
