Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-23,Mi orden de las “sigma” movies,,https://boxd.it/nsL0G,voy a dar mi orden personal de las películas que se conocen popularmente por tener protagonistas “sigma” ordenadas por que personaje considero que representa más la definición del concepto popular

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,Fight Club,1999,https://boxd.it/2a9q,
3,American Psycho,2000,https://boxd.it/28Vs,
4,Scarface,1983,https://boxd.it/2b7g,
5,Blade Runner 2049,2017,https://boxd.it/b8wK,
6,Drive,2011,https://boxd.it/IG,
7,Nightcrawler,2014,https://boxd.it/780m,
8,GoodFellas,1990,https://boxd.it/29FA,
9,Joker,2019,https://boxd.it/h4cS,
