Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-06-01,Rocky,1976,https://boxd.it/2TeiQ9,3.5,,,2022-05-11
2022-06-06,Blade Runner 2049,2017,https://boxd.it/2UcD7J,4,,"Netflix, ciencia ficcion, accion, distopia",2022-05-29
2022-06-01,Taxi Driver,1976,https://boxd.it/2TehaL,5,Yes,"netflix, drama, soledad, sigma, antiheroe",2022-05-31
2022-06-01,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2TelBB,3,,,2022-05-31
2022-06-07,American Psycho,2000,https://boxd.it/2Uj9op,3.5,,psycho,2022-06-06
2022-06-17,Whiplash,2014,https://boxd.it/2W3FrB,5,,,2022-06-16
2022-06-17,"Crazy, Stupid, Love.",2011,https://boxd.it/2W3H8L,3,,,2022-06-16
2022-08-07,GoodFellas,1990,https://boxd.it/36AVST,5,,,2022-08-07
2022-08-28,Casino,1995,https://boxd.it/3aP2QJ,4.5,,,2022-08-28
2022-10-17,Blue Valentine,2010,https://boxd.it/3kKbS5,4,,,2022-10-16
2023-03-20,Django Unchained,2012,https://boxd.it/40sGpb,5,,,2023-03-19
2023-03-26,Inglourious Basterds,2009,https://boxd.it/421WMT,5,,,2023-03-25
2023-04-09,The Devil Wears Prada,2006,https://boxd.it/45ZI1h,4,,,2023-04-08
2023-05-20,Gone Girl,2014,https://boxd.it/4gBAgT,4,,,2023-05-19
2023-06-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4k8kgV,4.5,,,2023-06-02
2023-06-07,Waves,2019,https://boxd.it/4lo7YV,3.5,,,2023-06-06
2023-06-10,Legally Blonde,2001,https://boxd.it/4m8crJ,4,,,2023-06-09
2023-06-10,The Grand Budapest Hotel,2014,https://boxd.it/4m9ZAd,2,,,2023-06-10
2023-06-12,Once Upon a Time... in Hollywood,2019,https://boxd.it/4mLUjx,5,,,2023-06-12
2023-06-14,La La Land,2016,https://boxd.it/4nfzHD,5,Yes,,2023-06-13
2023-06-16,About Time,2013,https://boxd.it/4nLDrj,4,,,2023-06-15
2023-06-22,Fight Club,1999,https://boxd.it/4ps92t,5,,,2023-06-21
2023-06-23,GoodFellas,1990,https://boxd.it/4pLIG7,5,Yes,,2023-06-22
2023-06-24,The Super Mario Bros. Movie,2023,https://boxd.it/4q2MpD,3.5,,,2023-06-23
2023-06-25,The Wolf of Wall Street,2013,https://boxd.it/4qmWtP,5,,,2023-06-25
2023-06-27,Jennifer's Body,2009,https://boxd.it/4qU79d,3,,,2023-06-26
2023-06-27,The Girl on the Train,2016,https://boxd.it/4qXQR1,2.5,,,2023-06-26
2023-06-27,American Psycho,2000,https://boxd.it/4qZ8Wv,4.5,Yes,,2023-06-27
2023-06-28,Raging Bull,1980,https://boxd.it/4raZxP,5,,,2023-06-27
2023-06-28,"Crazy, Stupid, Love.",2011,https://boxd.it/4rfyjh,3.5,Yes,,2023-06-28
2023-06-29,The Social Network,2010,https://boxd.it/4rxdp5,4.5,,,2023-06-29
2023-07-01,The Lego Batman Movie,2017,https://boxd.it/4s3xcT,4.5,,,2023-06-30
2023-07-01,Corpse Bride,2005,https://boxd.it/4s4ySD,4,,,2023-07-01
2023-07-01,The Princess and the Frog,2009,https://boxd.it/4s5yxn,4,,,2023-07-01
2023-07-04,Coach Carter,2005,https://boxd.it/4sWDf5,3.5,,,2023-07-03
2023-07-17,Taxi Driver,1976,https://boxd.it/4wZ5vP,5,Yes,,2023-07-17
2023-07-18,The Hunchback of Notre Dame,1996,https://boxd.it/4xd4qH,3.5,,,2023-07-17
2023-07-18,The King of Comedy,1982,https://boxd.it/4xhpXF,5,,,2023-07-17
2023-07-22,Coraline,2009,https://boxd.it/4ym0cD,3.5,,,2023-07-21
2023-07-22,Luca,2021,https://boxd.it/4yq4eV,3.5,,,2023-07-21
2023-07-22,I Am Legend,2007,https://boxd.it/4yy92B,4,,,2023-07-21
2023-07-22,Drive,2011,https://boxd.it/4yEV3z,4,Yes,,2023-07-21
2023-07-27,Puss in Boots: The Last Wish,2022,https://boxd.it/4ARohd,3.5,,,2023-07-26
2023-07-30,Barbie,2023,https://boxd.it/4BZpN5,4.5,,,2023-07-29
2023-08-28,"I, Tonya",2017,https://boxd.it/4LuejB,5,,,2023-08-27
2023-08-31,The Book of Life,2014,https://boxd.it/4Mk9vV,3.5,,,2023-08-30
2023-10-03,Black Swan,2010,https://boxd.it/4VUjHv,4,,,2023-10-02
2023-12-09,Shrek 2,2004,https://boxd.it/5i3J9F,5,Yes,,2023-12-08
2024-02-06,Ted,2012,https://boxd.it/5LOFIh,4,,,2024-02-05
2024-02-11,Anyone But You,2023,https://boxd.it/5O1W3J,3,,,2024-02-10
2024-03-22,28 Days Later,2002,https://boxd.it/66FxvP,3,,,2024-03-22
2024-04-27,The Fall Guy,2024,https://boxd.it/6lXVcN,3.5,,,2024-04-26
2024-05-10,Monsters University,2013,https://boxd.it/6rCy3F,3,Yes,,2024-05-09
2024-05-25,Shutter Island,2010,https://boxd.it/6xyE0X,5,,,2024-05-24
2024-06-21,Inside Out 2,2024,https://boxd.it/6Ipq0F,4,,,2024-06-20
2024-07-13,Despicable Me 4,2024,https://boxd.it/6RCrut,2,,,2024-07-12
2024-08-17,Limitless,2011,https://boxd.it/777NCL,3.5,,,2024-08-16
2024-08-19,You Again,2010,https://boxd.it/78qqXt,3.5,Yes,,2024-08-18
2024-08-31,It Ends with Us,2024,https://boxd.it/7dL0x7,3,,,2024-08-30
2024-09-11,The Help,2011,https://boxd.it/7iVYR7,3.5,,,2024-09-10
2024-09-11,Inglourious Basterds,2009,https://boxd.it/7iZWKB,5,Yes,,2024-09-10
2024-09-12,12 Angry Men,1957,https://boxd.it/7jm92L,5,,,2024-09-11
2024-09-13,Disturbia,2007,https://boxd.it/7jy1wH,3,,,2024-09-12
2024-09-13,Superbad,2007,https://boxd.it/7jKV4N,5,Yes,,2024-09-13
2024-09-14,The Notebook,2004,https://boxd.it/7k83ul,4.5,Yes,,2024-09-13
2024-09-19,Sorry to Bother You,2018,https://boxd.it/7mgp4D,3.5,,,2024-09-18
2024-09-28,Air,2023,https://boxd.it/7q2853,3.5,,,2024-09-27
2024-09-29,The Wild Robot,2024,https://boxd.it/7qHHWj,4,,,2024-09-28
2024-10-05,Joker: Folie à Deux,2024,https://boxd.it/7ttPbz,1.5,,,2024-10-04
2024-11-01,The Silence of the Lambs,1991,https://boxd.it/7Hor9Z,4.5,,,2024-11-01
2024-11-24,Red One,2024,https://boxd.it/7SOgjF,2.5,,,2024-11-23
2024-12-14,Kung Fu Panda,2008,https://boxd.it/82Dl8l,4,,,2024-12-12
2024-12-14,Shrek 2,2004,https://boxd.it/82Dokp,5,Yes,,2024-12-13
2024-12-20,2001: A Space Odyssey,1968,https://boxd.it/86ixFv,4.5,,,2024-12-20
2024-12-27,Big Fat Liar,2002,https://boxd.it/8bpRP5,3,Yes,,2024-12-26
2024-12-31,The Hunger Games: Catching Fire,2013,https://boxd.it/8eBZt3,3,Yes,,2024-12-30
2024-12-31,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/8fcFU3,2,Yes,,2024-12-31
2025-01-08,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/8n5wlh,3.5,,,2025-01-08
2025-01-10,How to Lose a Guy in 10 Days,2003,https://boxd.it/8p0uzf,4,,,2025-01-09
2025-01-11,Back to the Future,1985,https://boxd.it/8pQ2FN,5,Yes,,2025-01-10
2025-01-11,Back to the Future Part II,1989,https://boxd.it/8qc4St,4,Yes,,2025-01-10
2025-01-12,Back to the Future Part III,1990,https://boxd.it/8qJkix,5,Yes,,2025-01-11
2025-01-12,"The Good, the Bad and the Ugly",1966,https://boxd.it/8riaQT,5,,,2025-01-11
2025-01-19,Split,2016,https://boxd.it/8wZxEH,3.5,,,2025-01-18
2025-01-26,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/8CllWX,3.5,,,2025-01-25
2025-01-31,Moneyball,2011,https://boxd.it/8FNrMH,4,,,2025-01-30
2025-02-03,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/8IBr5V,4,,,2025-02-03
2025-02-10,"As Above, So Below",2014,https://boxd.it/8NaCuD,4,Yes,,2025-02-10
2025-02-17,Mamma Mia!,2008,https://boxd.it/8RHAol,5,,,2025-02-16
2025-03-20,Woman of the Hour,2023,https://boxd.it/9b6X4J,3,,,2025-03-19
2025-04-06,A Minecraft Movie,2025,https://boxd.it/9kD92v,2.5,,,2025-04-05
2025-04-20,What Women Want,2000,https://boxd.it/9sMbnb,3,,,2025-04-19
2025-04-20,"Love, Rosie",2014,https://boxd.it/9sPHR9,2,,,2025-04-20
2025-04-20,The Lorax,2012,https://boxd.it/9sRIvR,3.5,,,2025-04-20
2025-06-23,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/a5FSgJ,3,,,2025-06-22
2025-06-23,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/a5G2r3,4,,,2025-06-22
2025-08-12,The Big Short,2015,https://boxd.it/aH7hZ7,3.5,,,2025-07-22
2025-08-02,Apocalypse Z: The Beginning of the End,2024,https://boxd.it/azG2cx,1.5,,,2025-08-01
2025-08-26,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/aRrQHd,3,,,2025-08-25
2025-09-01,Eyes Wide Shut,1999,https://boxd.it/aVrT5R,4,,,2025-08-30
2025-09-01,Network,1976,https://boxd.it/aVwwY5,3.5,,,2025-08-31
2025-09-01,The Shining,1980,https://boxd.it/aW1ntT,5,,,2025-08-31
2025-09-06,The Blair Witch Project,1999,https://boxd.it/aZ5qBh,4,,,2025-09-06
2025-09-07,Creep,2014,https://boxd.it/aZmB3f,2.5,,,2025-09-06
2025-09-08,28 Weeks Later,2007,https://boxd.it/b0rcT5,2.5,,,2025-09-07
2025-09-08,Punch-Drunk Love,2002,https://boxd.it/b0vbG3,3,,,2025-09-07
2025-09-14,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/b45p7F,4,,,2025-09-13
2025-09-14,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/b45yqL,4.5,,,2025-09-13
2025-09-15,Pearl,2022,https://boxd.it/b4SQZx,3,,,2025-09-14
2025-09-17,Creep 2,2017,https://boxd.it/b5GgSF,3,,,2025-09-16
2025-09-17,X,2022,https://boxd.it/b5ZdsR,3.5,,,2025-09-16
2025-09-18,Me Before You,2016,https://boxd.it/b67Jmd,2.5,,,2025-09-17
2025-09-19,Ted 2,2015,https://boxd.it/b70koX,2.5,,,2025-09-19
2025-10-04,Fallen Angels,1995,https://boxd.it/bg5W8f,4,,,2025-10-04
2025-10-05,Chungking Express,1994,https://boxd.it/bgmHeB,4.5,,,2025-10-04
2025-10-05,Full Metal Jacket,1987,https://boxd.it/bgPIRn,5,,,2025-10-04
2025-10-07,Ready Player One,2018,https://boxd.it/bhRfu3,2.5,,,2025-10-06
2025-10-07,The House,2022,https://boxd.it/bigjLH,3,,,2025-10-07
2025-10-08,Isle of Dogs,2018,https://boxd.it/biHBSv,4,,,2025-10-07
2025-10-12,One Battle After Another,2025,https://boxd.it/blfoCP,4.5,,,2025-10-11
2025-10-14,Fantastic Mr. Fox,2009,https://boxd.it/bmi8hV,4,,,2025-10-13
2025-12-13,Five Nights at Freddy's 2,2025,https://boxd.it/c1FTGD,2,,,2025-12-12
2026-01-16,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/cEWdw7,3,,,2025-12-15
2026-01-16,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/cEWePJ,3,,,2025-12-25
2026-01-07,Stranger Things 5: The Finale,2025,https://boxd.it/cuaJgp,3.5,,,2026-01-03
2026-01-11,The Housemaid,2025,https://boxd.it/czjKP9,3.5,,,2026-01-10
2026-01-17,Amores Perros,2000,https://boxd.it/cFU5Bj,4.5,,,2026-01-16
