Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-24,Horror/thrillers,,https://boxd.it/ntFz8,películas de terror que quiero ver de nuevo o por primera vez

Position,Name,Year,URL,Description
1,Pearl,2022,https://boxd.it/zPbe,
2,X,2022,https://boxd.it/sxVa,
3,Get Out,2017,https://boxd.it/eOCm,
4,The Shining,1980,https://boxd.it/29Nu,
5,Midsommar,2019,https://boxd.it/jhxe,
6,Annihilation,2018,https://boxd.it/9yzm,
7,The Blair Witch Project,1999,https://boxd.it/26ua,
8,28 Days Later,2002,https://boxd.it/2aXU,
9,[REC],2007,https://boxd.it/20ma,
10,"As Above, So Below",2014,https://boxd.it/7yui,
