Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-22,Kubrick Ranked Films ,,https://boxd.it/BqraI,

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,Full Metal Jacket,1987,https://boxd.it/2a1Q,
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
4,Eyes Wide Shut,1999,https://boxd.it/2axs,
5,A Clockwork Orange,1971,https://boxd.it/2aVE,
6,Lolita,1962,https://boxd.it/29Ag,
7,The Killing,1956,https://boxd.it/2aMi,
8,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
9,Barry Lyndon,1975,https://boxd.it/25A2,
10,Paths of Glory,1957,https://boxd.it/29b6,
