Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-05,Movies para vacaciones ,,https://boxd.it/n8lpU,

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
3,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
4,Jojo Rabbit,2019,https://boxd.it/iEBG,
5,Pulp Fiction,1994,https://boxd.it/29Pq,
6,Nightcrawler,2014,https://boxd.it/780m,
7,The Notebook,2004,https://boxd.it/1UNE,
8,Room,2015,https://boxd.it/7T0y,
9,Corpse Bride,2005,https://boxd.it/24WQ,
10,Shutter Island,2010,https://boxd.it/1U82,
11,Her,2013,https://boxd.it/4O24,
12,Babylon,2022,https://boxd.it/mM02,
13,"I, Tonya",2017,https://boxd.it/dzR0,
14,Lost in Translation,2003,https://boxd.it/2b0E,
15,Midnight in Paris,2011,https://boxd.it/i4a,
16,Atonement,2007,https://boxd.it/24ui,
17,Prisoners,2013,https://boxd.it/4E5i,
18,Meet Joe Black,1998,https://boxd.it/2aEI,
19,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
20,Bullet Train,2022,https://boxd.it/qW26,
21,Last Night in Soho,2021,https://boxd.it/lbJC,
22,The Great Gatsby,2013,https://boxd.it/JY,
23,Akira,1988,https://boxd.it/2b1i,
24,Amélie,2001,https://boxd.it/2aUc,
25,Se7en,1995,https://boxd.it/29zs,
26,Punch-Drunk Love,2002,https://boxd.it/20E4,
27,The Lego Batman Movie,2017,https://boxd.it/azp0,
28,The Social Network,2010,https://boxd.it/17ue,
29,Jennifer's Body,2009,https://boxd.it/1Efw,
30,About Time,2013,https://boxd.it/43bI,
31,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
32,Fight Club,1999,https://boxd.it/2a9q,
33,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
34,American Psycho,2000,https://boxd.it/28Vs,
35,GoodFellas,1990,https://boxd.it/29FA,
36,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
37,Legally Blonde,2001,https://boxd.it/1ZNa,
38,La La Land,2016,https://boxd.it/a5fa,
39,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
40,The Girl on the Train,2016,https://boxd.it/bCJY,
41,Waves,2019,https://boxd.it/jpmy,
42,Gone Girl,2014,https://boxd.it/6hQu,
43,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
44,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,
