Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-31,Pendientes de ver con Sofi ,,https://boxd.it/vTHj6,

Position,Name,Year,URL,Description
1,Inglourious Basterds,2009,https://boxd.it/1JzG,
2,The Silence of the Lambs,1991,https://boxd.it/2aHW,
3,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
4,Pulp Fiction,1994,https://boxd.it/29Pq,
5,Lost in Translation,2003,https://boxd.it/2b0E,
6,Her,2013,https://boxd.it/4O24,
7,Punch-Drunk Love,2002,https://boxd.it/20E4,
8,Se7en,1995,https://boxd.it/29zs,
9,Poor Things,2023,https://boxd.it/tNWU,
10,Why Him?,2016,https://boxd.it/c3Wq,
11,The Notebook,2004,https://boxd.it/1UNE,
12,Prisoners,2013,https://boxd.it/4E5i,
13,Amélie,2001,https://boxd.it/2aUc,
14,Anatomy of a Fall,2023,https://boxd.it/yuDE,
15,Challengers,2024,https://boxd.it/zld0,
16,The Garfield Movie,2024,https://boxd.it/s93y,
17,Fallen Angels,1995,https://boxd.it/1UkW,
18,Requiem for a Dream,2000,https://boxd.it/29VI,
19,You Again,2010,https://boxd.it/16iw,
20,La Haine,1995,https://boxd.it/2as8,
21,Eyes Wide Shut,1999,https://boxd.it/2axs,
22,Full Metal Jacket,1987,https://boxd.it/2a1Q,
23,The Great Gatsby,2013,https://boxd.it/JY,
24,Reservoir Dogs,1992,https://boxd.it/2agc,
25,There Will Be Blood,2007,https://boxd.it/20Z2,
26,Boogie Nights,1997,https://boxd.it/23um,
27,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
28,Aftersun,2022,https://boxd.it/Arw0,
29,Before Sunrise,1995,https://boxd.it/2bcU,
30,Green Book,2018,https://boxd.it/hErk,
31,The Help,2011,https://boxd.it/EDm,
32,Babylon,2022,https://boxd.it/mM02,
33,The Godfather,1972,https://boxd.it/2aNK,
34,Scarface,1983,https://boxd.it/2b7g,
