Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-23,Personal Favorites ,,https://boxd.it/nsKpg,

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,(500) Days of Summer,2009,https://boxd.it/1EmM,
3,GoodFellas,1990,https://boxd.it/29FA,
4,Django Unchained,2012,https://boxd.it/2cCk,
5,The Godfather,1972,https://boxd.it/2aNK,
6,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
7,12 Angry Men,1957,https://boxd.it/2auI,
8,Whiplash,2014,https://boxd.it/7bQA,
9,Fight Club,1999,https://boxd.it/2a9q,
10,La La Land,2016,https://boxd.it/a5fa,
11,Shrek 2,2004,https://boxd.it/29z8,
12,Superbad,2007,https://boxd.it/20hO,
13,The Notebook,2004,https://boxd.it/1UNE,
14,Inglourious Basterds,2009,https://boxd.it/1JzG,
15,Black Swan,2010,https://boxd.it/Sw0,
16,Raging Bull,1980,https://boxd.it/28yI,
17,American Psycho,2000,https://boxd.it/28Vs,
18,Casino,1995,https://boxd.it/2ads,
19,Back to the Future,1985,https://boxd.it/2b8e,
20,Back to the Future Part III,1990,https://boxd.it/2aTS,
21,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
22,The Shining,1980,https://boxd.it/29Nu,
23,Full Metal Jacket,1987,https://boxd.it/2a1Q,
24,Chungking Express,1994,https://boxd.it/1UDa,
