Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-28,Scorsese Ranked Films ,,https://boxd.it/nxTmg,

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,Raging Bull,1980,https://boxd.it/28yI,
3,GoodFellas,1990,https://boxd.it/29FA,
4,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
5,The King of Comedy,1982,https://boxd.it/2aJS,
6,Shutter Island,2010,https://boxd.it/1U82,
7,Casino,1995,https://boxd.it/2ads,
8,The Departed,2006,https://boxd.it/28MA,
9,The Irishman,2019,https://boxd.it/dYOq,
10,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
11,The Aviator,2004,https://boxd.it/26BU,
12,Mean Streets,1973,https://boxd.it/2aSU,
13,Cape Fear,1991,https://boxd.it/28vu,
14,Gangs of New York,2002,https://boxd.it/25FG,
15,Hugo,2011,https://boxd.it/R08,
16,Silence,2016,https://boxd.it/2cAo,
