Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-28,Tarantino Ranked Films ,,https://boxd.it/nxTwU,

Position,Name,Year,URL,Description
1,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
2,Django Unchained,2012,https://boxd.it/2cCk,
3,Inglourious Basterds,2009,https://boxd.it/1JzG,
4,Pulp Fiction,1994,https://boxd.it/29Pq,
5,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
6,Reservoir Dogs,1992,https://boxd.it/2agc,
7,The Hateful Eight,2015,https://boxd.it/8gw8,
8,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,
9,Jackie Brown,1997,https://boxd.it/2aVO,
10,Death Proof,2007,https://boxd.it/27GG,
