Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-06-01,Taxi Driver,1976,https://boxd.it/2TehaL,5,Yes,"Un estudio de personaje sobre lo que la soledad puede causar en un hombre, al final del día Travis fue un héroe? un antihéroe? o un villano? quizás solamente era un hombre el cual quería completar un objetivo en su vida para satisfacer sus propias necesidades. o al final si pudo limpiar la ciudad?","netflix, drama, soledad, sigma, antiheroe",2022-05-31
2022-06-01,Rocky,1976,https://boxd.it/2TeiQ9,3.5,,"Trama 4/5
Cinematografia 3/5
Actuaciones 3/5
Disfrutabilidad 5/5

de mis primeras películas favoritas, siempre trae nostalgia verla aunque no sea una película perfecta",,2022-05-11
2022-06-01,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2TelBB,3,,"Trama 3/5
Cinematografia 3/5
Actuaciones 3/5
Disfrutabilidad 4/5

el cine de superheroes no es tanto lo mío, está película tampoco aporto tanto a mi opinión en eso, sin embargo la disfrute y no me aburrí en el tiempo que la vi en el cine, sin embargo siento que hay demasiados agujeros de trama y cosas sin explicar durante la trama",,2022-05-31
2022-06-06,Blade Runner 2049,2017,https://boxd.it/2UcD7J,4,,"Una representación de una sociedad distopica en su máxima expresión, de la mejor cinematografía que he visto, cada plano podría ser perfectamente un fondo de pantalla y la pregunta entorno a la cual gira la pelicula, ¿Qué hace a un ser humano considerarse ""Humano""?","Netflix, ciencia ficcion, accion, distopia",2022-05-29
2022-06-07,American Psycho,2000,https://boxd.it/2Uj9op,3.5,,"Muchos momentos de la pelicula te hacen sentir incomodo y es casi imposible empatizar con Patrick Bateman, pero no pude evitar sentirme identificado cada vez que reproducía musica y contaba datos muy específicos acerca de los álbumes que se escuchaban, supongo que soy un melómano también.",psycho,2022-06-06
2022-06-17,Whiplash,2014,https://boxd.it/2W3FrB,5,,"""not quite my tempo"" es la frase que más terror causa cuando la escucho y ni siquiera es una película de miedo, que bien se siente revisitar esta película despues de un tiempo y aún así encontrar cosas nuevas para ti, definitivamente de mis películas favoritas",,2022-06-16
2022-06-17,"Crazy, Stupid, Love.",2011,https://boxd.it/2W3H8L,3,,"Ryan Gosling es de mis actores favoritos de todos los tiempos y esta película solía ser mi película favorita de amor cuando era niño, pero ahora no puedo soportar el acoso de Robbie con su niñera, it's just weird",,2022-06-16
2022-08-07,GoodFellas,1990,https://boxd.it/36AVST,5,,“as far back as i can remember i always wanted to be a gangster” frase en la cual voy a basar mi personalidad entera durante un mes 🚬,,2022-08-07
2022-08-28,Casino,1995,https://boxd.it/3aP2QJ,4.5,,"El trabajo de cámara y fotografía es brutaaaal, la verdad es que esta película me hizo sentir desesperacion en muchas ocasiones pero siento que es parte de lo que Scorsese quizo hacer sentir al espectador, y en el momento que “house of the rising sun” empezó a soñar supe que sería de mis películas favoritas.",,2022-08-28
2022-10-17,Blue Valentine,2010,https://boxd.it/3kKbS5,4,,esta película es la prueba de que un buen corte de pelo y vestirte bien puede hacerte pasar de un 5/10 a un 9/10,,2022-10-16
2023-03-20,Django Unchained,2012,https://boxd.it/40sGpb,5,,"Tarantino es el mejor escribiendo personajes, no es posible que cada vez que vea una de sus películas, quiera ser el protagonista",,2023-03-19
2023-03-26,Inglourious Basterds,2009,https://boxd.it/421WMT,5,,"No se como es que Tarantino hizo para lograr un equilibrio entre la tensión, acción y diversión, de esas películas que desde la primera vez que la vez sabes que vas a volver a ella una y otra vez",,2023-03-25
2023-05-20,Gone Girl,2014,https://boxd.it/4gBAgT,4,,Como que se me quitaron las ganas de casarme,,2023-05-19
2023-06-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4k8kgV,4.5,,“you can’t save everyone”,,2023-06-02
2023-06-07,Waves,2019,https://boxd.it/4lo7YV,3.5,,"“a bad day makes the difference” cada plano de la película está hecho con una dedicación y precisión perfectos, el soundtrack es lo mejor de la película junto con la fotografía, realmente es mi soundtrack favorito, pero la historia completa es el punto frágil de la película, siento que pudo ser mejor orientada",,2023-06-06
2023-06-10,Legally Blonde,2001,https://boxd.it/4m8crJ,4,,"Si barbie se hubiera hecho en 2004, Elle hubiera sido perfecta para el papel",,2023-06-09
2023-06-10,The Grand Budapest Hotel,2014,https://boxd.it/4m9ZAd,2,,"lo siento, pero esta película no fue para mi, no entendí del todo la película y siento que se puede sentir pesada en cierto punto",,2023-06-10
2023-06-12,Once Upon a Time... in Hollywood,2019,https://boxd.it/4mLUjx,5,,"Durante toda la película solo veo a Cliff y quiero ser como el, el mejor personaje del mundo",,2023-06-12
2023-06-14,La La Land,2016,https://boxd.it/4nfzHD,5,Yes,"No se porque la primera vez no le puse 5 estrellas, realmente se siente el amor al arte que se puso en esta película, cada secuencia, cada escena está planeada con dedicación y pasión, los colores son hermosos y cada plano podría ser perfectamente una fotografía, de esas películas que te hacen ver el amor que se le tiene a este arte.",,2023-06-13
2023-06-16,About Time,2013,https://boxd.it/4nLDrj,4,,"“all time traveling in the world can’t make someone love you” muy linda película, no me recordaba lo linda que era",,2023-06-15
